,volume,high,open,close,low
2021-03-05 14:30:00,17448700,121.30000305175781,120.9000015258789,120.80000305175781,115.37999725341797
2021-03-08 14:30:00,17246900,121.0,120.54000091552734,113.93000030517578,113.69999694824219
2021-03-09 14:30:00,17717100,118.4000015258789,117.06999969482422,116.37999725341797,115.33000183105469
2021-03-10 14:30:00,15240300,118.02999877929688,117.80000305175781,113.83000183105469,113.41000366210938
2021-03-11 14:30:00,15091600,120.80000305175781,118.23999786376953,120.58000183105469,117.06999969482422
2021-03-12 14:30:00,8171000,119.0,119.0,118.30000305175781,117.27999877929688
2021-03-15 13:30:00,8935000,119.11000061035156,118.6500015258789,119.08000183105469,116.70999908447266
2021-03-16 13:30:00,10793400,121.25,119.72000122070312,119.3499984741211,118.0999984741211
2021-03-17 13:30:00,9890400,119.5199966430664,117.75,118.76000213623047,115.38999938964844
2021-03-18 13:30:00,10283800,118.33000183105469,118.0,114.5,114.0999984741211
2021-03-19 13:30:00,11536000,114.88999938964844,114.37999725341797,113.62999725341797,113.20999908447266
2021-03-22 13:30:00,9376400,118.33000183105469,114.79000091552734,117.18000030517578,114.79000091552734
2021-03-23 13:30:00,8977400,116.75,116.0999984741211,114.88999938964844,114.62000274658203
2021-03-24 13:30:00,24196100,114.69000244140625,112.47000122070312,108.95999908447266,108.8499984741211
2021-03-25 13:30:00,16772400,112.75,108.0,110.44999694824219,107.88999938964844
2021-03-26 13:30:00,12910900,116.69999694824219,112.0,116.55999755859375,111.19999694824219
2021-03-29 13:30:00,10863600,116.76000213623047,116.55000305175781,114.38999938964844,112.38999938964844
2021-03-30 13:30:00,8206200,116.08999633789062,115.27999877929688,115.06999969482422,114.29000091552734
2021-03-31 13:30:00,9806500,118.36000061035156,115.79000091552734,118.27999877929688,115.55999755859375
2021-04-01 13:30:00,17904000,124.87999725341797,122.80999755859375,124.80000305175781,121.63999938964844
2021-04-05 13:30:00,14113900,127.4000015258789,127.06999969482422,124.5,122.68000030517578
2021-04-06 13:30:00,13042300,124.01000213623047,124.0,122.44000244140625,121.54000091552734
2021-04-07 13:30:00,11193200,122.61000061035156,122.44000244140625,119.88999938964844,119.83999633789062
2021-04-08 13:30:00,10226700,123.81999969482422,121.37999725341797,123.43000030517578,121.37999725341797
2021-04-09 13:30:00,8315200,123.44000244140625,122.75,122.80000305175781,121.69999694824219
2021-04-12 13:30:00,9868400,122.45999908447266,122.20999908447266,120.9000015258789,119.23999786376953
2021-04-13 13:30:00,8384800,122.9000015258789,122.4000015258789,121.2699966430664,120.3499984741211
2021-04-14 13:30:00,9521900,122.43000030517578,121.98999786376953,120.83999633789062,120.5
2021-04-15 13:30:00,18709100,122.0,121.69999694824219,118.3499984741211,116.55999755859375
2021-04-16 13:30:00,9512100,120.5999984741211,119.19000244140625,118.83999633789062,117.8499984741211
2021-04-19 13:30:00,12630300,118.87999725341797,118.0,115.4000015258789,115.19999694824219
2021-04-20 13:30:00,9299200,116.77999877929688,116.05000305175781,114.94999694824219,114.55000305175781
2021-04-21 13:30:00,8472200,117.48999786376953,114.5,117.4000015258789,113.7699966430664
2021-04-22 13:30:00,7411800,117.5,117.5,115.31999969482422,114.41000366210938
2021-04-23 13:30:00,8380300,118.72000122070312,116.58000183105469,118.63999938964844,115.93000030517578
2021-04-26 13:30:00,8444000,121.54000091552734,120.0,121.5199966430664,119.4000015258789
2021-04-27 13:30:00,5491800,121.6500015258789,121.5,121.2699966430664,119.88999938964844
2021-04-28 13:30:00,6476500,120.41999816894531,120.0,119.66000366210938,118.7300033569336
2021-04-29 13:30:00,8831800,120.83000183105469,120.72000122070312,119.0999984741211,117.61000061035156
2021-04-30 13:30:00,7950700,118.18000030517578,118.01000213623047,116.73999786376953,116.6500015258789
2021-05-03 13:30:00,10229500,117.55000305175781,117.47000122070312,115.94000244140625,115.7300033569336
2021-05-04 13:30:00,9638300,115.81999969482422,115.0,115.36000061035156,113.73999786376953
